Feature,description
BURO_CREDIT_TYPE_Mortgage_MEAN,"Type of Credit Bureau credit (Car, cash,...)"
ACTIVE_DAYS_CREDIT_MAX,How many days before current application did client apply for Credit Bureau credit
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,Remaining duration of CB credit (in days) at the time of application in Home Credit
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,Remaining duration of CB credit (in days) at the time of application in Home Credit
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,Remaining duration of CB credit (in days) at the time of application in Home Credit
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,Current amount overdue on Credit Bureau credit
ACTIVE_AMT_CREDIT_SUM_MAX,Max Current credit amount for the Credit Bureau credit
ACTIVE_AMT_CREDIT_SUM_SUM,Sum Current credit amount for the Credit Bureau credit
ACTIVE_AMT_CREDIT_SUM_DEBT_MAX,Max Current debt on Credit Bureau credit
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,Mean Current debt on Credit Bureau credit
CLOSED_DAYS_CREDIT_MAX,Max How many days before current application did client apply for Credit Bureau credit
CLOSED_DAYS_CREDIT_VAR,Variance How many days before current application did client apply for Credit Bureau credit
CLOSED_DAYS_CREDIT_ENDDATE_MAX,Max Remaining duration of CB credit (in days) at the time of application in Home Credit
CLOSED_AMT_CREDIT_SUM_MAX,Max Current credit amount for the Credit Bureau credit
CLOSED_AMT_CREDIT_SUM_MEAN,Mean Current credit amount for the Credit Bureau credit
CLOSED_AMT_CREDIT_SUM_SUM,Sum Current credit amount for the Credit Bureau credit
PREV_AMT_ANNUITY_MEAN,Mean Annuity of previous application
PREV_APP_CREDIT_PERC_MIN,"Min Percentage ( For how much credit did client ask on the previous application ) / ( Final credit amount on the previous application.) This differs from AMT_APPLICATION in a way that the AMT_APPLICATION is the amount for which the client initially applied for, but during our approval process he could have received different amount - AMT_CREDIT "
PREV_APP_CREDIT_PERC_MAX,"Max Percentage ( For how much credit did client ask on the previous application ) / ( Final credit amount on the previous application.) This differs from AMT_APPLICATION in a way that the AMT_APPLICATION is the amount for which the client initially applied for, but during our approval process he could have received different amount - AMT_CREDIT "
PREV_APP_CREDIT_PERC_MEAN,"Mean Percentage ( For how much credit did client ask on the previous application ) / ( Final credit amount on the previous application.) This differs from AMT_APPLICATION in a way that the AMT_APPLICATION is the amount for which the client initially applied for, but during our approval process he could have received different amount - AMT_CREDIT "
PREV_AMT_DOWN_PAYMENT_MAX,Max Down payment on the previous application
PREV_AMT_DOWN_PAYMENT_MEAN,Mean Down payment on the previous application
PREV_DAYS_DECISION_MEAN,Mean Relative to current application when was the decision about previous application made
PREV_CNT_PAYMENT_MEAN,Term of previous credit at application of the previous application
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,"Contract status (approved, cancelled, ...) of previous application"
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,"Contract status (approved, cancelled, ...) of previous application"
PREV_NAME_TYPE_SUITE_nan_MEAN,Who accompanied client when applying for the previous application
PREV_NAME_CLIENT_TYPE_New_MEAN,Was the client old or new client when applying for the previous application
PREV_NAME_PRODUCT_TYPE_walkin_MEAN,Was the previous application x-sell o walk-in
PREV_NAME_SELLER_INDUSTRY_Connectivity_MEAN,The industry of the seller
PREV_NAME_YIELD_GROUP_high_MEAN,Grouped interest rate into small medium and high of the previous application
PREV_NAME_YIELD_GROUP_low_action_MEAN,Grouped interest rate into small medium and high of the previous application
PREV_NAME_YIELD_GROUP_low_normal_MEAN,Grouped interest rate into small medium and high of the previous application
PREV_PRODUCT_COMBINATION_CashXSelllow_MEAN,Detailed product combination of the previous application
PREV_PRODUCT_COMBINATION_POSindustrywithinterest_MEAN,Detailed product combination of the previous application
APPROVED_AMT_ANNUITY_MIN,Annuity of previous application
APPROVED_AMT_ANNUITY_MAX,Annuity of previous application
APPROVED_AMT_ANNUITY_MEAN,Annuity of previous application
APPROVED_AMT_DOWN_PAYMENT_MAX,Down payment on the previous application
APPROVED_DAYS_DECISION_MIN,Relative to current application when was the decision about previous application made
APPROVED_CNT_PAYMENT_MEAN,Term of previous credit at application of the previous application
APPROVED_CNT_PAYMENT_SUM,Term of previous credit at application of the previous application
REFUSED_AMT_CREDIT_MIN,"Final credit amount on the previous application. This differs from AMT_APPLICATION in a way that the AMT_APPLICATION is the amount for which the client initially applied for, but during our approval process he could have received different amount - AMT_CREDIT"
REFUSED_APP_CREDIT_PERC_MIN,"Final credit amount on the previous application. This differs from AMT_APPLICATION in a way that the AMT_APPLICATION is the amount for which the client initially applied for, but during our approval process he could have received different amount - AMT_CREDIT"
REFUSED_DAYS_DECISION_MEAN,Relative to current application when was the decision about previous application made
POS_MONTHS_BALANCE_MAX,"Month of balance relative to application date (-1 means the information to the freshest monthly snapshot, 0 means the information at application - often it will be the same as -1 as many banks are not updating the information to Credit Bureau regularly )"
POS_MONTHS_BALANCE_SIZE,"Month of balance relative to application date (-1 means the information to the freshest monthly snapshot, 0 means the information at application - often it will be the same as -1 as many banks are not updating the information to Credit Bureau regularly )"
POS_SK_DPD_DEF_MEAN,DPD during the month with tolerance (debts with low loan amounts are ignored) of the previous credit
POS_NAME_CONTRACT_STATUS_Active_MEAN,Contract status during the month
INSTAL_DPD_MEAN,Mean [When was the installments of previous credit paid actually (relative to application date of current loan)] - [When the installment of previous credit was supposed to be paid (relative to application date of current loan)]
INSTAL_DBD_SUM,Somme [When the installment of previous credit was supposed to be paid (relative to application date of current loan) MINUS When was the installments of previous credit paid actually (relative to application date of current loan)]
INSTAL_PAYMENT_PERC_MEAN,MEAN What the client actually paid on previous credit on this installment / What was the prescribed installment amount of previous credit on this installment 
INSTAL_PAYMENT_PERC_SUM,SUM What the client actually paid on previous credit on this installment / What was the prescribed installment amount of previous credit on this installment 
INSTAL_PAYMENT_DIFF_MAX,Max What was the prescribed installment amount of previous credit on this installment â€“ What the client actually paid on previous credit on this installment
INSTAL_PAYMENT_DIFF_MEAN,Mean What was the prescribed installment amount of previous credit on this installment â€“ What the client actually paid on previous credit on this installment
INSTAL_AMT_INSTALMENT_MAX,What was the prescribed installment amount of previous credit on this installment
INSTAL_AMT_PAYMENT_MIN,What the client actually paid on previous credit on this installment
INSTAL_AMT_PAYMENT_MAX,What the client actually paid on previous credit on this installment
INSTAL_AMT_PAYMENT_MEAN,What the client actually paid on previous credit on this installment
INSTAL_AMT_PAYMENT_SUM,What the client actually paid on previous credit on this installment
INSTAL_DAYS_ENTRY_PAYMENT_MAX,When was the installments of previous credit paid actually (relative to application date of current loan)
INSTAL_DAYS_ENTRY_PAYMENT_MEAN,When was the installments of previous credit paid actually (relative to application date of current loan)
INSTAL_DAYS_ENTRY_PAYMENT_SUM,When was the installments of previous credit paid actually (relative to application date of current loan)
CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,Amount drawing at ATM during the month of the previous credit
CC_CNT_DRAWINGS_CURRENT_MEAN,Mean Amount drawing during the month of the previous credit
CC_CNT_DRAWINGS_CURRENT_VAR,VAR Amount drawing during the month of the previous credit
